Offre,Type_Activite,Cluster_Adresse,Adresse,Code_Postal,Commune,Code_Insee,Latitude,Longitude,Telephone,Mail,Url,Equipement,Animal_Accepte,Groupe_Accepte,Langue,Ouverture_Annee,Reservation_Possible
CINEMA PATHE,Cinéma,    Place des Jacobins  ,    Place des Jacobins  ,72000,LE MANS,72181,48.0078875,0.1997966,,pathe.lemans@cinemasgaumontpathe.com,http://www.cinemasgaumontpathe.com/cinemas/cinema-pathe-le-mans-quinconces/,,non,oui,Français,oui,non
CINEMA PARADISO,Cinéma,    24 Boulevard de la Gare 14,    24 Boulevard de la Gare 14,44390,NORT-SUR-ERDRE,44110,47.4413969,-1.5025362,09 53 80 35 23,president@cinema-paradiso.asso.fr,http://www.cinema-paradiso.asso.fr/,Salle de projection##Toilettes,non,oui,Français,oui,oui
CINEMA MEGA CGR,Cinéma##Salle de spectacle,      ZAC Les Portes de l'Océane,      ZAC Les Portes de l'Océane,72650,SAINT-SATURNIN,72320,48.0488482,0.17321045,08 92 68 85 88,megacgr.stsaturnin@cgrcinemas.fr,http://www.cgrcinemas.fr/stsaturnin,Auditorium##Salle de projection##Salle de réunion équipée##Toilettes,non,oui,Français,oui,non
CINEMA LES CINEASTES,Cinéma,    42 place des Comtes du Maine  ,    42 place des Comtes du Maine  ,72000,LE MANS,72181,48.0042994,0.20024578,02 43 51 28 18,infos@les-cineastes.fr,,Salle de projection##Toilettes,non,oui,,oui,non
CINEMA LE VOX A MAYENNE,Cinéma,"    16, Place Juhel  ","    16, Place Juhel  ",53100,MAYENNE,53147,48.3024147,-0.6205214,,,http://atmospherescinema.org,,,,Français,oui,non
CINEMA LE PALACE,Cinéma,    3 Place du Pilori  ,    3 Place du Pilori  ,53200,CHATEAU-GONTIER,53062,47.8269382,-0.705777,02 43 07 17 29,palace.chateaugontier@gmail.com,http://cinema-palace.fr/,Salle de projection,non,oui,Français,oui,non
CINEMA LE NOZEK,Cinéma,    10 rue de la gare  ,    10 rue de la gare  ,44170,NOZAY,44113,47.5648306,-1.6286354,02 40 87 90 80,,http://www.lenozek.nozay44.com/,Salle de projection##Toilettes,non,oui,Français,oui,non
CINEMA LE MAJESTIC,Cinéma,    Rue de Gesnes  ,    Rue de Gesnes  ,53150,MONTSÛRS-SAINT-CÉNERÉ,53161,48.1379999,-0.5582276,02 43 01 44 74,majesticinemontsurs@orange.fr,http://www.cinemajesticmontsurs.com,Bar##Toilettes,,,Français,oui,non
CINEPHIL ,Cinéma,2 rue des anciens combattants       ,2 rue des anciens combattants       ,44310,SAINT-PHILBERT-DE-GRAND-LIEU,44188,47.036878,-1.642905,0228250816,,,,,,,,non
CINEMA LE FIEF,Cinéma,    Rue du Clocher Place Richelieu,    Rue du Clocher Place Richelieu,85470,BRETIGNOLLES-SUR-MER,85035,46.6286514,-1.854973,02 51 90 17 69,ass-aep@orange.fr,,,,,,non,non
CINEMA ZOOM,Cinéma,    Place de l'Hôtel de Ville Centre de Ressources,    Place de l'Hôtel de Ville Centre de Ressources,72120,SAINT-CALAIS,72269,47.9205894,0.74317793,02 43 35 48 60,cine.zoom@orange.fr,,Salle de projection##Toilettes,non,oui,Français,oui,non
CINEMARINE,Cinéma,    Place de la Félicité   ,    Place de la Félicité   ,85800,SAINT-GILLES-CROIX-DE-VIE,85222,46.6988723,-1.9289049,02.28.10.24.63,cinemarine2@wanadoo.fr,http://www.cine-marine.com,Bar##Toilettes,,,,oui,non
CINEMA LE CEP,Cinéma,    8 boulevard Dejoie  ,    8 boulevard Dejoie  ,44330,VALLET,44212,47.1624427,-1.2642143,02 40 36 60 82,cinemalecep@orange.fr,http://www.cinemalecep.fr/,Salle de projection,non,oui,Français,oui,non
CINEMA L'AIGLON,Cinéma,"    12, rue du Pré de la Ville  ","    12, rue du Pré de la Ville  ",53370,SAINT-PIERRE-DES-NIDS,53246,48.4017363,-0.0990991,02 43 03 54 68,,http://cinemalaiglon.wixsite.com,Salle de projection##Toilettes,non,oui,Français,oui,non
CINEMA LE CLUB,Cinéma,    25 bis rue des Venelles  ,    25 bis rue des Venelles  ,49120,CHEMILLE-EN-ANJOU,49092,47.212119,-0.7265339,02 41 30 37 73,,http://www.cinemachemille.com,Toilettes,,,,,non
RANDONNEE PEDESTRE SUR LE CANTON DE MAYET,Activités sportives,       ,       ,72360,MAYET,72191,47.7493843,0.272743,,,,,oui,oui,Anglais,oui,non
RANDONNEE PEDESTRE SUR LE CANTON DE LA CHARTRE SUR LE LOIR,Activités sportives,       ,       ,72340,LA CHARTRE-SUR-LE-LOIR,72068,47.728933,0.57381,02 43 38 16 60,info@vallee-du-loir.com,http://www.vallee-du-loir.com,,oui,oui,Anglais##Espagnol,oui,non
RANDONNEE PEDESTRE SUR LE CANTON DE CHATEAU DU LOIR,Activités sportives,       ,       ,72500,MONTVAL-SUR-LOIR,72071,47.692668,0.418068,02 43 38 16 60,info@vallee-du-loir.com,http://www.vallee-du-loir.com,,,,,oui,non
QI GONG - RELAXATION ET BIEN ÊTRE,Activités culturelles,    Plage des Vieilles  ,    Plage des vieilles  ,85350,L'ILE-D'YEU,85113,46.69537,-2.3136182,06 28 16 10 90,yan.messiez@sfr.fr,,,,,,,non
PÔLE DE LOISIRS DU LAC,Aire de pique-nique##Base de loisirs##Jeux pour enfants##Lac de pêche##Parcours dans les arbres##Piscine##Tennis,      Lac de la Vallée Mabile,      Lac de la Vallée Mabile,44260,SAVENAY,44195,47.3554593,-1.9248276,02 40 58 39 39,mairie@ville-savenay.fr,http://www.ville-savenay.fr,Aire de pique nique,oui,oui,,oui,non
PÊCHES SPORTIVES AVEC DAVID DOUSSOT,Activités sportives,    Port Olona Ponton Accueil,    Port Olona Ponton Accueil,85100,LES SABLES-D'OLONNE,85194,46.503739,-1.792874,06 07 34 10 26,david.doussot@orange.fr,http://www.jamaisbredouille.com/,,non,,,oui,non
PÊCHEURS D'ÉTOILES,,    84 avenue Saint Georges  ,    84 avenue Saint Georges  ,44500,LA BAULE-ESCOUBLAC,44055,47.2926,-2.35724,06 85 97 67 23 ,pechetoile@orange.fr,http://www.pecheurdetoiles.com,,oui,,Anglais##Espagnol,oui,non
PÊCHE À L'ÉTANG DE L'AUJARDIÈRE,Activités sportives,      L'Aujardière,      L'Aujardière,85590,LES EPESSES,85082,46.8880835,-0.9055506,,,,,,,,,non
