"Nom de l'offre d'activité touristique","Type détaillé d'activité","Adresse partie 1: Porte/escalier","Adresse partie 1 suite","Adresse partie 2","Adresse partie 3","Code postal","Commune de l'activité","Cedex de l'adresse postale","Code Insee de la Commune","location","Latitude","Longitude","Situation de l'offre","Emplacement géographique","N° de téléphone mobile","N° de téléphone fixe","N° de fax","Adresse e-Mail","Url du site web","Type de plateforme/url","Services proposés sur l'équipement de loisir","Equipements présents sur le site de loisir","Animal accepté: oui / non","Complément information animal accepté","Labels","Label tourisme handicap","Groupe accepté: oui / non","Catégorie de la prestation fournie","Type formule itinérante","Activité sportive proposée","Type activité culturelle proposée","Langues parlées à l'accueil","Langues des audio guides","Visites libres proposées aux individuels en permanence: oui / non","Durée de visite pour les individuels","Visites guidées proposées aux individuels en permanence: oui / non","Visites guidées proposées aux individuels sur demande: oui / non","Langues des panneaux d'info","Langues parlées","Complément d'info sur les visites","Visites guidées proposées aux groupes en permanence: oui / non","Visites pédagogiques proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes sur demande: oui / non","Durée de visite pour les groupes","Lieux de pratique de l'activité de loisirs","Commune de départ de la formule itinérante","Commune d'arrivée de la formule itinérante","Ouverture de l'offre toute l'année: oui / non","Horaires d'ouvertures","ResaDirecte","Centrale de réservation en ligne: oui / non","Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale","Tarifs","Tarif gratuit : oui / non","Modes de paiement acceptés"
"CINEMA PATHE","Cinéma","","","Place des Jacobins","","72000","LE MANS","","72181","[ 48.0078875 , 0.1997966]","48.0078875","0.1997966","","","","","","pathe.lemans@cinemasgaumontpathe.com","http://www.cinemasgaumontpathe.com/cinemas/cinema-pathe-le-mans-quinconces/","Facebook||https://www.facebook.com/pages/Cinema-Gaumont-Pathe-Le-Mans/655244171191495?fref=ts##Facebook||https://www.facebook.com/pathelemans","","","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","||||||voir chaque tarif sur http://www.cinemasgaumontpathe.com/##Tarif indiv. enfant||||||4,5€ : moins de 14 ans;Sur présentation d'un justificatif pour les scolaires et étudiants.","","Cartes bancaires##Chèques Vacances"
"CINEMA PARADISO","Cinéma","","","24 Boulevard de la Gare","14","44390","NORT-SUR-ERDRE","","44110","[ 47.4413969 , -1.5025362]","47.4413969","-1.5025362","Gare SNCF||Gare Nort-sur-Erdre Tram train||0","A l'abri","","09 53 80 35 23","","president@cinema-paradiso.asso.fr","http://www.cinema-paradiso.asso.fr/","","","Salle de projection##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","||02 40 29 58 21||programmation@cinema-paradiso.asso.fr","","","","","Cartes bancaires##Chèques bancaires et postaux"
"CINEMA MEGA CGR","Cinéma##Salle de spectacle","","","","ZAC Les Portes de l'Océane","72650","SAINT-SATURNIN","","72320","[ 48.0488482 , 0.17321045]","48.0488482","0.17321045","Route (nationale/départ.)||RN138, Alençon - Tours||0,1##Autoroute||A11, Paris - Nantes, sortie Le Mans Nord||0,5##Gare SNCF||Gare du Mans||10##Gare routière||Co-Voiturage VINCI||1##Transport en commun||Arrêt ""Cinemas""||0","","","08 92 68 85 88","02 43 51 19 10","megacgr.stsaturnin@cgrcinemas.fr","http://www.cgrcinemas.fr/stsaturnin","Facebook||https://www.facebook.com/megacgr.stsaturnin##Twitter||","Espace jeux","Auditorium##Salle de projection##Salle de réunion équipée##Toilettes","non","","","","oui","","","","","Français","","","","","","Français","Français","","","","","","","","","","oui","","","oui","||http://www.cgrcinemas.fr/stsaturnin/reserver/||||||","Tarif indiv. enfant||||||Moins de 16 ans.","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"CINEMA LES CINEASTES","Cinéma","","","42 place des Comtes du Maine","","72000","LE MANS","","72181","[ 48.0042994 , 0.20024578]","48.0042994","0.20024578","Autoroute||||7##Gare SNCF||||1##Gare routière||||1##Transport en commun||Av. de Gaulle ou Av. F. Mitterrand||0,2","","","02 43 51 28 18","02 43 51 18 22","infos@les-cineastes.fr","","Facebook||https://www.facebook.com/pages/Cin%C3%A9ma-Les-Cin%C3%A9astes/319963812293","","Salle de projection##Toilettes","non","","","","oui","","","","","","","","","","","","","","","","","","","","","","oui","","","","","Tarif indiv. enfant||||||Moins de 14 ans et groupes scolaires.","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"CINEMA LE VOX A MAYENNE","Cinéma","","","16, Place Juhel","","53100","MAYENNE","","53147","[ 48.3024147 , -0.6205214]","48.3024147","-0.6205214","","","","","","","http://atmospherescinema.org","Facebook||https://www.facebook.com/cinema.levox.mayenne","","","","","","","","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","non","Cartes bancaires##Chèques bancaires et postaux"
"CINEMA LE PALACE","Cinéma","","","3 Place du Pilori","","53200","CHATEAU-GONTIER","","53062","[ 47.8269382 , -0.705777]","47.8269382","-0.705777","","","","02 43 07 17 29","","palace.chateaugontier@gmail.com","http://cinema-palace.fr/","","","Salle de projection","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"CINEMA LE NOZEK","Cinéma","","","10 rue de la gare","","44170","NOZAY","","44113","[ 47.5648306 , -1.6286354]","47.5648306","-1.6286354","","","","02 40 87 90 80","","","http://www.lenozek.nozay44.com/","","","Salle de projection##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","Tarif indiv. adulte||5||5||##Tarif indiv. enfant||4||4||##Tarif indiv. réduit||4,3||4,3||","",""
"CINEMA LE MAJESTIC","Cinéma","","","Rue de Gesnes","","53150","MONTSÛRS-SAINT-CÉNERÉ","","53161","[ 48.1379999 , -0.5582276]","48.1379999","-0.5582276","","A l'abri","","02 43 01 44 74","","majesticinemontsurs@orange.fr","http://www.cinemajesticmontsurs.com","","","Bar##Toilettes","","","","","","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","Tarif indiv. adulte||5||5||##Tarif indiv. enfant||4||4||","",""
"CINEPHIL ","Cinéma","2 rue des anciens combattants ","","","","44310","SAINT-PHILBERT-DE-GRAND-LIEU","","44188","[ 47.036878 , -1.642905]","47.036878","-1.642905","","","","0228250816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CINEMA LE FIEF","Cinéma","","","Rue du Clocher","Place Richelieu","85470","BRETIGNOLLES-SUR-MER","","85035","[ 46.6286514 , -1.854973]","46.6286514","-1.854973","","","","02 51 90 17 69","","ass-aep@orange.fr","","Facebook||https://www.facebook.com/profile.php?id=100011558897048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","non","02/04/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. adulte||6||7||7€ en juillet/août.##Tarif indiv. enfant||6||6||","",""
"CINEMA ZOOM","Cinéma","","","Place de l'Hôtel de Ville","Centre de Ressources","72120","SAINT-CALAIS","","72269","[ 47.9205894 , 0.74317793]","47.9205894","0.74317793","","","02 43 35 48 60","","","cine.zoom@orange.fr","","","","Salle de projection##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","||||||Fermé au mois d'août||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","non","Chèques bancaires et postaux"
"CINEMARINE","Cinéma","","","Place de la Félicité ","","85800","SAINT-GILLES-CROIX-DE-VIE","","85222","[ 46.6988723 , -1.9289049]","46.6988723","-1.9289049","","","","02.28.10.24.63","02.28.10.24.02","cinemarine2@wanadoo.fr","http://www.cine-marine.com","Facebook||https://www.facebook.com/Cin%C3%A9marine-Saint-gilles-Croix-de-Vie-124845084211503/","","Bar##Toilettes","","","","Déficience auditive##Déficience mentale##Déficience moteur##Déficience visuelle","","","","","","","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||Fermeture hebdomadaire le jeudi en dehors des vacances scolaires||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2018||31/12/2018||||Fermeture hebdomadaire le jeudi en dehors des vacances scolaires||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. enfant||||||- de 18 ans##Tarif indiv. enfant||||||- de 14 ans##Tarif indiv. adulte||8||||##Tarif indiv. enfant||6,8||||Pour les enfants de moins de 18 ans##Tarif indiv. enfant||4,5||||Pour les enfant de moins de 14 ans","",""
"CINEMA LE CEP","Cinéma","","","8 boulevard Dejoie","","44330","VALLET","","44212","[ 47.1624427 , -1.2642143]","47.1624427","-1.2642143","","","","02 40 36 60 82","","cinemalecep@orange.fr","http://www.cinemalecep.fr/","","","Salle de projection","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","Tarif indiv. adulte||||||Abonnement : 4,5","","Cartes bancaires##Chèques bancaires et postaux"
